Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate
01/10/2010 00:00,0.061999,4155850,257658.5442,103.047,1,0.001072064,0,2,0,0.010226025
02/10/2010 00:00,0.061999,4161300,257996.4387,783.5844,1,0.001410853,0,2,0,0.007145107
03/10/2010 00:00,0.0614,4167350,255875.29,430.3578,1,0.00119124,0,2,0,0.007931725
04/10/2010 00:00,0.062,4175050,258853.1,2039.7222,1,0.000898461,0,2,0,0.010094922
05/10/2010 00:00,0.06301,4181200,263457.412,1651.5966,1,0.000970455,0,2,0,0.008062828
06/10/2010 00:00,0.0633,4188800,265151.04,2005.998,1,0.000829908,0,2,0,0.009963819
07/10/2010 00:00,0.0638,4197450,267797.31,2621.5788,1,0.000686948,0,2,0,0.0113404
08/10/2010 00:00,0.088,4205200,370057.6,11142.9832,1,0.000786323,0,2,0,0.010160474
09/10/2010 00:00,0.12001,4212850,505584.1285,16906.2255,1,0.00090849,0,1,0,0.010029371
10/10/2010 00:00,0.12,4221450,506574,5068.419,1,0.000703767,0,1,0,0.011274848
11/10/2010 00:00,0.1301,4229700,550283.97,1409.291,1,0.000633018,0,1,0,0.010815988
12/10/2010 00:00,0.099,4237700,419532.3,2309.4675,1,0.000698238,0,1,0,0.010960344
13/10/2010 00:00,0.095,4246150,403384.25,4755.727,1,0.000674828,0,1,0,0.011576864
14/10/2010 00:00,0.105,4255750,446853.75,3721.728,1,0.000803448,0,3,0,0.013152413
15/10/2010 00:00,0.119,4265000,507535,2464.333,1,0.000513108,0,2,0,0.012672898
16/10/2010 00:00,0.109,4276950,466187.55,628.471,1,0.000595481,0,2,0,0.016372014
17/10/2010 00:00,0.1045,4291050,448414.725,1822.219,1,0.000486128,0,3,0,0.019317607
18/10/2010 00:00,0.103,4304100,443322.3,2566.509,1,0.000627452,0,3,0,0.017879062
19/10/2010 00:00,0.1024,4316250,441984,623.51,1,0.001261868,0,2,0,0.016646023
20/10/2010 00:00,0.103,4327950,445778.85,3185.5,1,0.000999491,0,2,0,0.016029503
21/10/2010 00:00,0.109,4339600,473016.4,4486.7,1,0.000809506,0,2,0,0.02489103
22/10/2010 00:00,0.107,4347250,465155.75,3806.4301,1,0.00102232,0,2,0,0.016344753
23/10/2010 00:00,0.10901,4355950,474842.1095,486.5817,1,0.00110546,0,2,0,0.018588151
24/10/2010 00:00,0.19,4365400,829426,1518.0253,1,0.000731709,0,1,0,0.020190578
